customer_id,age,income,city,department,salary,constant_col,all_null_col,churn
ID_0000,30.0,48446.08673340183,City_0,HR,99999999.0,999,,1
ID_0001,30.0,7534.900649049107,City_1,Sales,3869.3846650624737,999,,1
ID_0002,30.0,27734.90840572336,City_2,HR,5622.711223900269,999,,1
ID_0003,25.0,21238.28266696289,City_3,Engineering,5629.529584221811,999,,0
ID_0004,25.0,81771.30613066474,City_4,Engineering,4195.684240340008,999,,0
ID_0005,30.0,39923.7827089484,City_5,Engineering,5895.3554307626,999,,0
ID_0006,30.0,30414.58514028916,City_6,Sales,4368.422270834669,999,,0
ID_0007,25.0,4904.546271744274,City_7,HR,5253.165238037981,999,,0
ID_0008,,37219.42916530943,City_8,Engineering,5820.344012612456,999,,0
ID_0009,25.0,4986.44115221391,City_9,HR,4966.387435296287,999,,0
ID_0010,25.0,16451.676574749217,City_10,Engineering,5454.740912141135,999,,0
ID_0011,25.0,6165.31889069701,City_11,Sales,4483.570356112428,999,,0
ID_0012,30.0,47115.78553265154,City_12,Sales,4803.533416571903,999,,0
ID_0013,,9239.575675177855,City_13,HR,4794.14056911966,999,,0
ID_0014,25.0,19893.965186467394,City_14,Sales,4253.421653459761,999,,0
ID_0015,30.0,90409.6848354852,City_15,Sales,4823.225836884218,999,,0
ID_0016,35.0,9142.14554920614,City_16,HR,3451.381701136253,999,,0
ID_0017,35.0,28355.21717979876,City_17,Engineering,4508.846252857896,999,,0
ID_0018,25.0,21738.888265369616,City_18,Sales,4715.124506630329,999,,0
ID_0019,35.0,731.6117326626061,City_19,HR,4743.82024750462,999,,0
ID_0020,,62954.74537823697,City_20,Sales,4758.502554129222,999,,0
ID_0021,35.0,2861.8124611748804,City_21,Sales,4938.235800139871,999,,0
ID_0022,35.0,25717.560582700968,City_22,Sales,5479.441518086064,999,,0
ID_0023,,32900.932837306114,City_23,Sales,5874.517074132523,999,,0
ID_0024,25.0,39600.33884256367,City_24,HR,4350.234773151733,999,,0
ID_0025,25.0,46671.14384228758,City_25,HR,3796.799144610856,999,,0
ID_0026,,11682.19187687978,City_26,HR,3957.955587756897,999,,0
ID_0027,,401.1559345819217,City_27,Sales,4512.7970788050725,999,,0
ID_0028,,51413.62903957594,City_28,Sales,4648.078682183491,999,,0
ID_0029,35.0,30685.23651490777,City_29,Sales,4230.003933802543,999,,0
ID_0030,,72344.2724525154,City_30,HR,3703.883335750105,999,,0
ID_0031,30.0,68901.65821325783,City_31,Sales,4543.879172525812,999,,0
ID_0032,35.0,74143.56545871684,City_32,Engineering,5181.426620113972,999,,0
ID_0033,25.0,26550.88803993077,City_33,Sales,5595.029465835565,999,,0
ID_0034,25.0,16236.311993479536,City_34,Engineering,4442.576946891679,999,,0
ID_0035,25.0,62723.81703327717,City_35,Sales,4587.002177856566,999,,0
ID_0036,35.0,24007.708241290824,City_36,HR,4073.301691152689,999,,0
ID_0037,30.0,8106.302988617161,City_37,Sales,4968.560829625224,999,,0
ID_0038,,77233.69508693826,City_38,Engineering,4151.571365809185,999,,0
ID_0039,,85673.06659338792,City_39,Engineering,5573.1278132412,999,,0
ID_0040,25.0,25117.5870401803,City_40,Sales,3214.133508065889,999,,0
ID_0041,25.0,3148.731587518314,City_41,Engineering,4640.370327547537,999,,0
ID_0042,35.0,19629.554801405982,City_42,Engineering,5301.107339191742,999,,0
ID_0043,30.0,65091.38068997754,City_43,HR,5183.834516322504,999,,0
ID_0044,,92819.38493999068,City_44,Sales,7693.033663980496,999,,0
ID_0045,35.0,9099.757144803403,City_45,Sales,5349.800024567908,999,,0
ID_0046,,2772.8718241453894,City_46,Sales,3995.94540315799,999,,0
ID_0047,25.0,83936.96811216572,City_47,Engineering,4904.535752910927,999,,0
ID_0048,,19732.85149778504,City_48,Sales,3223.7536665335483,999,,0
ID_0049,30.0,31214.57275748542,City_49,Sales,4919.400250703239,999,,0
ID_0050,30.0,137763.12482116846,City_50,HR,4166.943942999242,999,,0
ID_0051,25.0,2755.3462943650934,City_51,HR,5915.390275560162,999,,0
ID_0052,30.0,41801.11767938999,City_52,HR,4450.459725404465,999,,0
ID_0053,30.0,3079.7959236049987,City_53,Engineering,4883.234084204753,999,,0
ID_0054,35.0,18830.167855888067,City_54,Sales,4364.442158595597,999,,0
ID_0055,,65147.79476488592,City_55,HR,6738.851351853331,999,,0
ID_0056,25.0,22729.1673711808,City_56,HR,4678.757233882088,999,,0
ID_0057,25.0,234874.13839843727,City_57,HR,6832.557043479202,999,,0
ID_0058,25.0,32753.79382230829,City_58,Sales,5814.151762118267,999,,0
ID_0059,25.0,15494.919635785898,City_59,Sales,5482.0667273353865,999,,0
ID_0060,25.0,9944.1638001468,City_60,Sales,5368.73314731752,999,,0
ID_0061,30.0,17263.36235601527,City_61,Engineering,5393.797298216252,999,,0
ID_0062,35.0,18642.58541175025,City_62,Engineering,3072.32742065439,999,,0
ID_0063,25.0,2847.540250505802,City_63,HR,4721.116605849244,999,,0
ID_0064,35.0,18454.39255882885,City_64,Sales,5845.1579711843215,999,,0
ID_0065,35.0,24962.64865865925,City_65,HR,4951.102816525894,999,,0
ID_0066,30.0,51311.65911411684,City_66,Sales,3594.810153196425,999,,0
ID_0067,25.0,42769.45873501232,City_67,Sales,4947.595549422531,999,,0
ID_0068,30.0,49345.08109626667,City_68,Sales,6704.105516255491,999,,0
ID_0069,25.0,335.9541484846715,City_69,Engineering,6246.891715534719,999,,0
ID_0070,30.0,9819.01234521372,City_70,Engineering,4937.995990633968,999,,0
ID_0071,35.0,43351.03045884949,City_71,Sales,5951.449277058086,999,,0
ID_0072,25.0,26465.11637640098,City_72,HR,4633.492979631948,999,,0
ID_0073,,213.1056954189281,City_73,Sales,3296.128413173281,999,,0
ID_0074,35.0,65286.6998196562,City_74,Sales,4075.5340118704457,999,,0
ID_0075,,59278.66915935509,City_75,HR,6562.888768508197,999,,0
ID_0076,35.0,31800.035246489395,City_76,Sales,4726.006918170696,999,,0
ID_0077,30.0,2751.001199057116,City_77,HR,4756.6160206249815,999,,0
ID_0078,25.0,58185.50623639917,City_78,Engineering,4700.161803725119,999,,0
ID_0079,35.0,35055.270583668724,City_79,Engineering,6904.136589573007,999,,0
ID_0080,30.0,60923.065681011234,City_0,HR,6625.958915362064,999,,0
ID_0081,25.0,55732.274436281725,City_1,Engineering,7218.780233448134,999,,0
ID_0082,25.0,64982.48271407724,City_2,Engineering,4840.9547895999485,999,,0
ID_0083,35.0,29193.11601403511,City_3,HR,5295.624488747095,999,,0
ID_0084,25.0,6048.012307376963,City_4,Engineering,3483.357450579209,999,,0
ID_0085,35.0,44487.05141176411,City_5,Sales,6476.934426118274,999,,0
ID_0086,25.0,38753.26427741138,City_6,Sales,3832.220448732065,999,,0
ID_0087,,54231.10086513585,City_7,HR,5216.775563762629,999,,0
